frame_idx,filename,scenario,x_gt_m,x_pred_m,err_m,abs_err_m
0,1.png,curve,0.008373,0.0749,0.06652699999999999,0.06652699999999999
1,10.png,curve,0.0,0.091,0.091,0.091
2,11.png,curve,0.008353,0.0357,0.027347000000000003,0.027347000000000003
3,12.png,curve,0.012651,0.0784,0.065749,0.065749
4,13.png,curve,0.004197,0.0931,0.088903,0.088903
5,14.png,curve,0.008353,0.0889,0.08054700000000001,0.08054700000000001
6,15.png,curve,-0.002101,0.0861,0.088201,0.088201
7,16.png,curve,0.0,0.1246,0.1246,0.1246
8,17.png,curve,0.004207,0.1134,0.109193,0.109193
9,18.png,curve,0.006318,0.1239,0.11758199999999999,0.11758199999999999
10,19.png,curve,0.014636,0.1246,0.109964,0.109964
11,2.png,curve,0.01058,0.1316,0.12101999999999999,0.12101999999999999
12,20.png,curve,0.008454,0.1246,0.116146,0.116146
13,21.png,curve,0.002111,0.1407,0.138589,0.138589
14,22.png,curve,0.016867,0.1393,0.12243300000000001,0.12243300000000001
15,23.png,curve,-0.016949,0.1477,0.164649,0.164649
16,24.png,curve,0.023165,0.1358,0.112635,0.112635
17,25.png,curve,0.004197,0.1344,0.13020299999999999,0.13020299999999999
18,26.png,curve,-0.004207,0.1456,0.149807,0.149807
19,27.png,curve,0.023277,0.1463,0.12302300000000002,0.12302300000000002
20,28.png,curve,0.008557,0.1358,0.127243,0.127243
21,29.png,curve,0.018999,0.1708,0.15180100000000002,0.15180100000000002
22,3.png,curve,0.027576,0.1603,0.132724,0.132724
23,30.png,curve,-0.006364,0.1582,0.16456400000000002,0.16456400000000002
24,31.png,curve,0.002101,0.1757,0.173599,0.173599
25,32.png,curve,0.029376,0.1687,0.139324,0.139324
26,33.png,curve,0.004207,0.1694,0.165193,0.165193
27,34.png,curve,0.010606,0.1771,0.166494,0.166494
28,35.png,curve,0.006287,0.1771,0.17081300000000002,0.17081300000000002
29,36.png,curve,0.016787,0.1778,0.16101300000000002,0.16101300000000002
30,37.png,curve,0.019045,0.1435,0.12445499999999998,0.12445499999999998
31,38.png,curve,0.021238,0.1512,0.129962,0.129962
32,39.png,curve,0.014848,0.1624,0.147552,0.147552
33,4.png,curve,0.01699,0.1911,0.17411,0.17411
34,40.png,straight,0.002106,0.1869,0.184794,0.184794
35,41.png,curve,0.033898,0.1953,0.161402,0.161402
36,42.png,curve,0.016908,0.2037,0.18679199999999999,0.18679199999999999
37,43.png,curve,0.054911,0.1988,0.143889,0.143889
38,44.png,curve,0.014885,0.2149,0.200015,0.200015
39,45.png,curve,0.004157,0.2135,0.209343,0.209343
40,46.png,curve,0.014741,0.196,0.181259,0.181259
41,47.png,curve,0.0,0.2401,0.2401,0.2401
42,48.png,curve,-0.004177,0.2163,0.22047699999999998,0.22047699999999998
43,49.png,curve,0.021499,0.2191,0.197601,0.197601
44,5.png,curve,-0.002096,0.231,0.233096,0.233096
45,50.png,curve,0.030025,0.2191,0.189075,0.189075
46,51.png,curve,0.0,0.2247,0.2247,0.2247
47,52.png,curve,0.021135,0.2009,0.179765,0.179765
48,53.png,curve,0.012712,0.203,0.190288,0.190288
49,54.png,curve,0.012743,0.1995,0.186757,0.186757
50,55.png,curve,0.029661,0.1953,0.165639,0.165639
51,56.png,curve,-0.004187,0.1883,0.192487,0.192487
52,57.png,curve,0.010529,0.1897,0.179171,0.179171
53,58.png,curve,0.010555,0.1638,0.153245,0.153245
54,59.png,curve,0.02561,0.147,0.12139,0.12139
55,6.png,curve,0.034146,0.14,0.105854,0.105854
56,60.png,curve,0.008373,0.1414,0.133027,0.133027
57,61.png,curve,0.004248,0.133,0.128752,0.128752
58,62.png,curve,-0.008434,0.1232,0.131634,0.131634
59,63.png,curve,0.008475,0.1253,0.116825,0.116825
60,64.png,curve,0.025862,0.0854,0.05953800000000001,0.05953800000000001
61,65.png,curve,0.021034,0.0742,0.053166000000000005,0.053166000000000005
62,66.png,curve,0.004187,0.0567,0.052513000000000004,0.052513000000000004
63,67.png,curve,0.021135,0.0469,0.025764999999999996,0.025764999999999996
64,68.png,curve,0.021135,0.035,0.013865000000000002,0.013865000000000002
65,69.png,curve,0.006287,0.021,0.014713,0.014713
66,7.png,curve,0.019091,0.0308,0.011709,0.011709
67,70.png,curve,0.004248,0.0147,0.010452,0.010452
68,71.png,curve,0.036325,-0.0056,-0.041925000000000004,0.041925000000000004
69,72.png,curve,-0.010555,0.0231,0.033655,0.033655
70,73.png,curve,0.01699,-0.0084,-0.025390000000000003,0.025390000000000003
71,74.png,curve,0.014813,-0.0133,-0.028113,0.028113
72,75.png,curve,0.006348,-0.0161,-0.022448,0.022448
73,76.png,curve,0.006379,-0.0245,-0.030879,0.030879
74,77.png,curve,-0.010404,-0.0308,-0.020396,0.020396
75,78.png,curve,-0.002111,-0.0266,-0.024488999999999997,0.024488999999999997
76,79.png,curve,0.008557,-0.0231,-0.031657,0.031657
77,8.png,curve,0.023277,-0.0322,-0.055477,0.055477
78,80.png,curve,0.021135,-0.0329,-0.054035,0.054035
79,81.png,curve,0.01058,-0.0525,-0.06308,0.06308
80,82.png,curve,0.008537,-0.0623,-0.070837,0.070837
81,83.png,curve,0.008516,-0.0693,-0.077816,0.077816
82,84.png,curve,-0.008393,-0.1162,-0.107807,0.107807
83,85.png,curve,-0.010555,-0.1323,-0.121745,0.121745
84,86.png,curve,-0.021238,-0.1414,-0.12016199999999999,0.12016199999999999
85,87.png,curve,0.019045,-0.1344,-0.153445,0.153445
86,9.png,curve,0.030172,-0.1463,-0.17647200000000002,0.17647200000000002
